user_id,total_listens,daily_listen_rate,night_listen_ratio,artist_diversity,tenure_days,churn_risk_percent
17256,851,30.39,0.0106,0.3302,28,0.76
38129,1776,61.24,0.1751,0.1954,29,0.76
44777,1055,37.68,0.1289,0.2455,28,0.76
36021,1961,70.04,0.0301,0.6813,28,0.76
38961,834,29.79,0.0132,0.2734,28,0.76
53333,201,7.18,0.204,0.2189,28,0.76
45252,558,19.24,0.0681,0.147,29,0.76
59075,1275,45.54,0.1827,0.2565,28,0.76
86148,2023,69.76,0.3371,0.2392,29,0.76
88343,49453,15.39,0.1556,0.0485,3214,1.74
76320,1755,62.68,0.0382,0.0148,28,0.76
86620,326,12.07,0.2485,0.4509,27,0.76
86224,2127,75.96,0.1655,0.3601,28,0.76
46887,1967,67.83,0.4199,0.1164,29,0.76
33776,192,8.35,0.0,0.1458,23,0.72
66139,540,19.29,0.437,0.2944,28,0.76
8621,365,15.87,0.5425,0.7315,23,0.76
79094,212,7.85,0.1038,0.3868,27,0.76
61529,724,32.91,0.0,0.2196,22,0.72
34155,487,15.71,0.6571,0.5667,31,0.76
80602,57,2.59,0.0,0.4737,22,1.03
66878,50,2.0,0.3,0.22,25,1.44
22529,347,12.85,0.2305,0.2161,27,0.76
56829,458,16.36,0.4672,0.4083,28,0.76
61371,1235,44.11,0.0057,0.085,28,0.76
27020,100,3.7,0.76,0.38,27,0.87
76593,813,29.04,0.0627,0.2669,28,0.76
40094,523,19.37,0.1109,0.1033,27,0.76
80777,52,1.79,0.2692,0.3462,29,1.19
46599,433,15.46,0.1917,0.5058,28,0.76
2700,93,3.58,0.1398,0.6774,26,0.87
31596,338,9.39,0.0,0.2367,36,1.1
18921,159,26.5,0.0,0.7421,6,26.52
79582,291,12.65,0.0034,0.646,23,0.76
73249,649,27.04,0.5562,0.3698,24,0.76
8832,131,6.24,0.0229,0.2443,21,0.76
36937,883,33.96,0.4383,0.0861,26,0.76
85323,762,27.21,0.0236,0.2441,28,0.76
61428,508,23.09,0.0551,0.3248,22,0.76
31217,102,3.64,0.0,0.0588,28,0.83
91171,113,28.25,0.0531,0.4602,4,26.44
23949,60,3.0,0.2167,0.5833,20,1.07
34622,220,8.8,0.0,0.4818,25,0.72
39149,100,4.76,0.14,0.6,21,0.8
86664,34,3.09,0.5588,0.7647,11,35.68
37228,172,5.93,0.6453,0.3198,29,0.76
38084,3,3.0,1.0,1.0,1,52.39
28148,63,10.5,0.0159,0.5873,6,32.47
26637,16,1.0,0.0,1.0,16,4.45
41414,186,7.75,0.0,0.2581,24,0.72
10250,3,0.25,1.0,1.0,12,37.63
92838,162,2.1,0.0247,0.463,77,1.77
93697,112,56.0,0.3661,0.2589,2,27.11
12750,53,2.04,0.4151,0.7547,26,1.07
90786,3,3.0,0.0,1.0,1,50.02
74106,404,18.36,0.5149,0.5767,22,0.76
80519,11,11.0,0.0,0.3636,1,47.96
47794,62,4.13,0.8548,0.5806,15,7.45
77468,2,2.0,0.0,1.0,1,53.79
88477,187,5.5,0.2727,0.3583,34,1.14
62049,8,2.0,0.0,0.375,4,44.92
41445,108,4.7,0.0093,0.463,23,0.8
37835,892,31.86,0.0336,0.0112,28,0.76
69555,244,9.38,0.1066,0.123,26,0.76
40242,48,2.18,0.3333,0.375,22,1.62
23462,164,7.13,0.6402,0.2744,23,0.76
30088,159,7.95,0.9057,0.0692,20,0.76
86853,1,1.0,0.0,1.0,1,54.16
45264,31,1.35,0.5484,0.6774,23,2.17
91815,11,0.12,0.1818,0.8182,89,23.73
91948,75,5.0,0.56,0.1867,15,6.63
93897,6,6.0,1.0,0.3333,1,50.59
19051,93,4.43,0.0323,0.0645,21,0.8
54198,1,1.0,0.0,1.0,1,54.16
41075,14,0.64,0.0,0.5714,22,2.44
73858,4,0.44,0.25,0.5,9,36.89
91980,4,4.0,0.75,0.75,1,48.84
90094,1,1.0,1.0,1.0,1,54.88
44681,1,1.0,1.0,1.0,1,54.88
61586,1,1.0,0.0,1.0,1,54.16
90211,8,8.0,0.0,0.375,1,47.69
45196,1,1.0,1.0,1.0,1,54.88
41286,1,1.0,0.0,1.0,1,54.16
78680,27,1.17,0.0,0.0741,23,2.15
20244,37,4.11,0.027,0.6486,9,36.93
30917,1618,57.79,0.0105,0.4839,28,0.76
34075,2376,139.76,0.2664,0.6376,17,0.76
39301,1281,47.44,0.3817,0.1639,27,0.76
47231,4162,148.64,0.3996,0.3513,28,0.8
52153,3526,125.93,0.4816,0.2201,28,0.8
58668,3046,108.79,0.1448,0.3477,28,0.76
73754,739,26.39,0.2422,0.406,28,0.76
16093,1473,52.61,0.26,0.239,28,0.76
41579,849,30.32,0.5171,0.3004,28,0.76
48137,8594,296.34,0.3333,0.0617,29,0.8
56849,32087,297.1,0.381,0.0373,108,1.74
3266,486,21.13,0.5514,0.393,23,0.76
6106,199,7.11,0.5729,0.3518,28,0.76
36157,3766,134.5,0.0467,0.1649,28,0.8
41710,663,21.39,0.4419,0.4027,31,0.76
45047,5687,19.75,0.038,0.1704,288,1.4
90436,158,12.15,0.443,0.5633,13,24.18
87909,254,10.16,0.5197,0.6102,25,0.76
13174,369,12.72,0.0136,0.2385,29,0.76
47495,480,17.14,0.0792,0.4271,28,0.76
55314,1661,57.28,0.2432,0.3763,29,0.76
53000,365,13.04,0.5178,0.3205,28,0.76
17660,479,17.11,0.167,0.3382,28,0.76
44281,2591,61.69,0.2956,0.0714,42,1.25
85904,4513,161.18,0.2327,0.0133,28,0.8
35136,738,26.36,0.0908,0.7195,28,0.76
84491,567,25.77,0.0,0.3316,22,0.72
86229,2836,2.51,0.097,0.0695,1130,1.77
31005,506,18.07,0.4704,0.2905,28,0.76
77528,1209,43.18,0.0199,0.2432,28,0.76
82677,2315,82.68,0.286,0.1853,28,0.76
5408,216,8.31,0.3333,0.3611,26,0.76
28053,2752,98.29,0.0956,0.0153,28,0.76
19239,8451,1.76,0.3667,0.0856,4807,1.81
28738,118,4.54,0.0,0.3051,26,0.72
44933,45,2.14,0.6222,0.1778,21,1.62
58986,201,7.44,0.0448,0.5423,27,0.76
65071,845,30.18,0.1183,0.2,28,0.76
29444,1659,59.25,0.6239,0.3605,28,0.76
6143,287,28.7,0.3693,0.1394,10,23.84
36182,608,21.71,0.074,0.2039,28,0.76
31873,378,14.0,0.0079,0.5079,27,0.76
88005,266,6.33,0.1429,0.3496,42,1.25
50989,226,7.79,0.2743,0.5487,29,0.76
29241,200,7.14,0.635,0.715,28,0.76
45840,1100,39.29,0.0073,0.5273,28,0.76
22026,113,16.14,0.0531,0.5841,7,26.05
34400,197,8.95,0.3858,0.8782,22,0.76
79313,271,10.84,0.1476,0.4686,25,0.76
12223,310,12.92,0.0,0.4806,24,0.72
78782,315,11.25,0.1651,0.454,28,0.76
28302,783,27.96,0.0013,0.4534,28,0.76
39488,75,3.13,0.4533,0.36,24,0.99
61505,274,9.79,0.2956,0.8029,28,0.76
47342,59,2.11,0.678,0.7797,28,1.07
79021,196,7.0,0.801,0.398,28,0.76
61555,96,3.43,0.2604,0.5,28,0.92
35054,146,5.41,0.4658,0.2808,27,0.76
51988,240,8.57,0.1958,0.4125,28,0.76
37607,196,13.07,0.0,0.4439,15,8.1
39425,212,7.85,0.217,0.4764,27,0.76
88841,517,19.88,0.6286,0.3424,26,0.76
32247,13,1.08,0.3077,0.5385,12,35.84
65515,263,9.39,0.0,0.5665,28,0.72
88337,560,21.54,0.0,0.2821,26,0.72
2034,603,21.54,0.3499,0.2371,28,0.76
44132,194,9.24,0.0309,0.268,21,0.76
29580,534,19.07,0.0,0.2622,28,0.72
12710,365,13.04,0.0,0.274,28,0.72
90937,459,25.5,0.0545,0.207,18,0.76
41657,47,1.68,0.0213,0.4681,28,1.44
22107,285,17.81,0.607,0.0877,16,6.75
42326,257,11.68,0.07,0.6148,22,0.76
9196,181,7.24,0.0,0.3039,25,0.72
59551,22,1.57,0.1364,0.1818,14,7.47
42273,786,28.07,0.0229,0.0267,28,0.76
41462,60,30.0,0.2333,0.5833,2,34.85
2888,85,3.86,0.0,0.7294,22,0.91
92173,81,10.13,0.4198,0.4568,8,31.77
54477,138,6.27,0.1884,0.2899,22,0.76
46067,92,4.38,0.0761,0.4348,21,0.8
92733,132,8.25,0.5833,0.6212,16,6.96
81151,20,20.0,0.0,0.85,1,47.28
87472,12,12.0,0.0,0.0833,1,47.42
43831,1144,40.86,0.4747,0.1407,28,0.76
25582,147,5.65,0.7823,0.585,26,0.76
51667,48,2.18,0.5833,0.8958,22,1.62
32481,4,0.5,0.5,0.75,8,36.0
41153,159,5.68,0.0377,0.1321,28,0.76
14313,10,0.83,0.2,1.0,12,40.33
12816,30,3.33,0.0,0.5333,9,40.03
32497,156,8.67,0.0,0.0513,18,0.72
74912,10,0.36,0.1,0.7,28,2.46
93790,3,3.0,0.0,1.0,1,50.02
93298,4,4.0,0.0,1.0,1,50.79
18714,132,6.0,0.3712,0.1136,22,0.76
86886,292,12.7,0.5616,0.0308,23,0.76
62358,5,5.0,1.0,0.6,1,51.27
17947,10,10.0,0.0,0.1,1,46.62
93871,6,6.0,1.0,0.5,1,51.59
61192,1,1.0,0.0,1.0,1,54.16
31391,38,5.43,0.6053,0.1316,7,36.58
20280,218,9.91,0.4862,0.055,22,0.76
81917,17,1.21,0.2941,0.1765,14,4.43
84660,14,14.0,0.7143,0.2143,1,45.71
80754,12,12.0,0.25,0.0833,1,47.64
80498,12,3.0,0.0,0.4167,4,44.31
36869,2,2.0,0.0,1.0,1,53.79
46546,4,4.0,0.0,0.5,1,49.57
82854,1,1.0,0.0,1.0,1,54.16
34958,1,1.0,1.0,1.0,1,54.88
90538,2,2.0,0.0,1.0,1,53.79
72253,1,1.0,1.0,1.0,1,54.88
22920,1,1.0,0.0,1.0,1,54.16
1773,3888,134.07,0.4174,0.1788,29,0.8
28180,1870,64.48,0.1626,0.3075,29,0.76
39548,2167,77.39,0.5215,0.1606,28,0.76
44364,725,25.89,0.0372,0.3228,28,0.76
51193,1384,49.43,0.1279,0.0332,28,0.76
59869,537,18.52,0.3445,0.5922,29,0.76
70608,3916,135.03,0.3514,0.1254,29,0.8
74065,371,19.53,0.3558,0.2938,19,0.76
87914,869,31.04,0.2647,0.1185,28,0.76
56824,4542,162.21,0.0559,0.1066,28,0.8
39904,337,12.04,0.3501,0.1424,28,0.76
74308,839,29.96,0.2181,0.3683,28,0.76
92272,122,15.25,0.4344,0.7295,8,24.44
28341,196,7.26,0.1429,0.0612,27,0.76
39094,171,7.77,0.0585,0.6082,22,0.76
43375,1771,63.25,0.2772,0.2101,28,0.76
61743,1149,41.04,0.0409,0.4221,28,0.76
76243,531,18.96,0.4087,0.4991,28,0.76
78891,1719,59.28,0.2251,0.3025,29,0.76
32201,585,21.67,0.2017,0.5214,27,0.76
43185,1660,59.29,0.5072,0.259,28,0.76
27155,485,17.32,0.301,0.4495,28,0.76
48961,783,30.12,0.0077,0.2171,26,0.76
84924,2297,82.04,0.5303,0.1702,28,0.76
28884,2388,85.29,0.031,0.1717,28,0.76
51354,152,6.08,0.4868,0.5263,25,0.76
40620,1861,64.17,0.3788,0.1951,29,0.76
21714,364,13.0,0.7692,0.2747,28,0.76
47733,588,22.62,0.0034,0.3401,26,0.76
10481,326,11.64,0.0613,0.3436,28,0.76
71647,2242,83.04,0.0317,0.4541,27,0.76
36678,239,9.56,0.0837,0.5105,25,0.76
45219,740,26.43,0.1932,0.3108,28,0.76
93093,100227,58.65,0.1642,0.0728,1709,1.74
93157,175,25.0,0.28,0.5543,7,23.87
24754,487,17.39,0.0144,0.2361,28,0.76
40272,566,20.21,0.0,0.1572,28,0.72
52309,824,29.43,0.0643,0.2209,28,0.76
65800,504,18.0,0.619,0.3393,28,0.76
36159,412,15.85,0.0073,0.2646,26,0.76
43429,716,27.54,0.2765,0.2388,26,0.76
45978,796,30.62,0.5314,0.2688,26,0.76
307,1567,55.96,0.1966,0.2585,28,0.76
41680,1583,60.88,0.0518,0.2097,26,0.76
17168,369,3.93,0.0325,0.4472,94,1.54
46906,780,7.96,0.0103,0.3974,98,1.36
62446,1230,43.93,0.1862,0.1244,28,0.76
27746,1166,41.64,0.0789,0.1518,28,0.76
37089,952,34.0,0.0431,0.1985,28,0.76
40377,574,19.79,0.5314,0.5401,29,0.76
87295,107,3.82,0.1869,0.4579,28,0.87
22831,90,3.75,0.5889,0.2778,24,0.95
36744,401,14.32,0.1421,0.4913,28,0.76
68310,296,15.58,0.4189,0.4595,19,0.76
46084,2030,70.0,0.5837,0.1596,29,0.76
53509,149,5.73,0.0403,0.3289,26,0.76
42158,779,26.86,0.3582,0.2003,29,0.76
43114,818,29.21,0.3667,0.6235,28,0.76
71519,659,23.54,0.0774,0.2291,28,0.76
88596,89423,20.02,0.0799,0.1131,4467,1.74
33853,387,13.82,0.0284,0.5116,28,0.76
22919,55,3.06,0.0,0.2909,18,1.03
87797,138,5.11,0.0,0.3116,27,0.72
39727,86,3.58,0.7791,0.5814,24,0.95
40552,38,2.24,0.2105,0.3684,17,1.62
90678,51742,15.06,0.3272,0.0332,3436,1.74
20881,442,17.68,0.4163,0.3303,25,0.76
82862,244,12.2,0.0533,0.0451,20,0.76
29827,435,16.11,0.0207,0.2414,27,0.76
26296,196,7.0,0.0357,0.6173,28,0.76
15553,1101,39.32,0.0,0.2225,28,0.72
13655,548,19.57,0.0182,0.3011,28,0.76
34760,636,22.71,0.283,0.2437,28,0.76
23343,389,15.56,0.4319,0.329,25,0.76
30625,148,6.43,0.5473,0.0811,23,0.76
44770,22,4.4,0.0,0.3182,5,42.04
76463,231,12.16,0.026,0.0736,19,0.76
84962,680,17.0,0.1059,0.0794,40,1.25
16133,390,13.93,0.4026,0.2282,28,0.76
31760,659,27.46,0.5539,0.4112,24,0.76
62565,10,10.0,0.1,1.0,1,50.64
574,170,6.3,0.1059,0.1765,27,0.76
56962,226,8.07,0.0044,0.2699,28,0.76
47593,261,9.0,0.0383,0.5057,29,0.76
27025,12,0.71,0.25,0.9167,17,2.46
54344,461,16.46,0.423,0.2408,28,0.76
44860,546,18.83,0.0916,0.0897,29,0.76
82729,280,21.54,0.0321,0.0714,13,26.05
38269,374,26.71,0.0615,0.2005,14,7.19
93238,25693,9.08,0.4683,0.2422,2829,1.74
93259,95,23.75,0.0,0.5158,4,28.1
82073,72,3.27,0.2361,0.6944,22,0.99
15446,25477,15.55,0.2165,0.0587,1638,1.74
32373,70,4.38,0.5714,0.7857,16,7.07
90793,759,54.21,0.6126,0.025,14,6.49
34989,462,17.11,0.2511,0.1277,27,0.76
91537,277,0.1,0.0253,0.3177,2704,7.65
37136,119,4.58,0.3697,0.3529,26,0.76
59778,210,7.5,0.0,0.1,28,0.72
67141,35,3.89,0.0,0.7714,9,39.97
